dim,beta_h,threshold,direct_budget,direct_cfg,diff_budget,diff_bm,budget_ratio
10,20.0,0.1,393216,smc16_ula5,20561920,20.0,0.019
10,20.0,0.2,393216,smc16_ula5,20561920,20.0,0.019
10,20.0,0.5,393216,smc16_ula5,20561920,5.0,0.019
10,20.0,1.0,393216,smc16_ula5,20561920,5.0,0.019
10,20.0,2.0,393216,smc16_ula5,20561920,5.0,0.019
10,20.0,5.0,393216,smc16_ula5,20561920,5.0,0.019
10,20.0,10.0,393216,smc16_ula5,20561920,5.0,0.019
10,50.0,0.1,393216,smc16_ula5,20561920,5.0,0.019
10,50.0,0.2,393216,smc16_ula5,20561920,5.0,0.019
10,50.0,0.5,393216,smc16_ula5,20561920,5.0,0.019
10,50.0,1.0,393216,smc16_ula5,20561920,5.0,0.019
10,50.0,2.0,393216,smc16_ula5,20561920,5.0,0.019
10,50.0,5.0,393216,smc16_ula5,20561920,5.0,0.019
10,50.0,10.0,393216,smc16_ula5,20561920,5.0,0.019
20,20.0,0.1,N/A,N/A,N/A,N/A,N/A
20,20.0,0.2,95158272,smc32_ula10,20889600,20.0,4.555
20,20.0,0.5,1179648,smc16_ula5,20561920,20.0,0.057
20,20.0,1.0,393216,smc16_ula5,20561920,20.0,0.019
20,20.0,2.0,393216,smc16_ula5,20561920,20.0,0.019
20,20.0,5.0,393216,smc16_ula5,20561920,5.0,0.019
20,20.0,10.0,393216,smc16_ula5,20561920,5.0,0.019
20,50.0,0.1,60555264,smc32_ula10,21954560,20.0,2.758
20,50.0,0.2,393216,smc16_ula5,20561920,20.0,0.019
20,50.0,0.5,393216,smc16_ula5,20561920,20.0,0.019
20,50.0,1.0,393216,smc16_ula5,20561920,20.0,0.019
20,50.0,2.0,393216,smc16_ula5,20561920,20.0,0.019
20,50.0,5.0,393216,smc16_ula5,20561920,5.0,0.019
20,50.0,10.0,393216,smc16_ula5,20561920,5.0,0.019
