dim,beta_h,metric,threshold,c_direct,c_setup,c_use,r_star,beta_m,n_train,n_samples,local_steps,metric_val
5,20.0,best_energy,0.0283,393216,20480000,81920,66,5.0,2048,8192,10,0.0244
5,20.0,best_energy,0.02887,393216,20480000,81920,66,5.0,2048,8192,10,0.0244
5,20.0,best_energy,0.03017,393216,20480000,81920,66,5.0,2048,8192,10,0.0244
5,20.0,best_energy,0.0317,393216,20480000,81920,66,5.0,2048,8192,10,0.0244
5,20.0,best_energy,0.1,393216,20480000,0,53,5.0,2048,8192,0,0.0689
5,20.0,best_energy,0.2,393216,20480000,0,53,5.0,2048,8192,0,0.0689
5,20.0,best_energy,0.5,393216,20480000,0,53,5.0,2048,8192,0,0.0689
5,20.0,best_energy,1.0,393216,20480000,0,53,5.0,2048,8192,0,0.0689
5,20.0,best_energy,2.0,393216,20480000,0,53,1.0,2048,8192,0,1.9928
5,20.0,best_energy,5.0,393216,20480000,0,53,1.0,2048,8192,0,1.9928
5,20.0,best_energy,10.0,393216,20480000,0,53,1.0,2048,8192,0,1.9928
5,50.0,best_energy,0.03917,393216,20480000,81920,66,5.0,2048,8192,10,0.0376
5,50.0,best_energy,0.03983,393216,20480000,81920,66,5.0,2048,8192,10,0.0376
5,50.0,best_energy,0.04207,393216,20480000,81920,66,5.0,2048,8192,10,0.0376
5,50.0,best_energy,0.1,393216,20480000,0,53,5.0,2048,8192,0,0.0689
5,50.0,best_energy,0.2,393216,20480000,0,53,5.0,2048,8192,0,0.0689
5,50.0,best_energy,0.5,393216,20480000,0,53,5.0,2048,8192,0,0.0689
5,50.0,best_energy,1.0,393216,20480000,0,53,5.0,2048,8192,0,0.0689
5,50.0,best_energy,2.0,393216,20480000,0,53,1.0,2048,8192,0,1.9928
5,50.0,best_energy,5.0,393216,20480000,0,53,1.0,2048,8192,0,1.9928
5,50.0,best_energy,10.0,393216,20480000,0,53,1.0,2048,8192,0,1.9928
10,20.0,best_energy,0.09367,393216,20480000,81920,66,20.0,2048,8192,10,0.0926
10,20.0,best_energy,0.1,393216,20480000,0,53,20.0,2048,8192,0,0.0995
10,20.0,best_energy,0.1016,393216,20480000,0,53,20.0,2048,8192,0,0.0995
10,20.0,best_energy,0.2,393216,20480000,0,53,20.0,2048,8192,0,0.0995
