energy,dim,beta_m,ula_min,ula_min_std,diff_min,diff_min_std,min_ratio,ula_mean,ula_mean_std,diff_mean,diff_mean_std,mean_ratio
ackley,2,0.1,0.006133,0.001457,0.0196,0.012819,3.196,0.4159,0.064523,2.1868,0.494249,5.258
ackley,2,0.25,0.005833,0.001405,0.0046,0.002066,0.789,0.2842,0.010189,0.9515,0.14912,3.348
ackley,2,0.5,0.0023,0.001229,0.0025,0.000436,1.087,0.3876,0.0285,0.709633,0.021774,1.831
ackley,2,1.0,0.004867,0.000723,0.008,0.00694,1.644,0.4145,0.004912,0.3503,0.012211,0.845
ackley,2,2.0,0.004833,0.002532,0.003,0.001852,0.621,0.388167,0.010659,0.180367,0.003502,0.465
ackley,2,3.0,0.004733,0.002401,0.0021,0.001058,0.444,0.2832,0.004779,0.190267,0.001528,0.672
ackley,2,4.0,0.004733,0.002401,0.003467,0.00095,0.733,0.276333,0.002818,0.195367,0.001877,0.707
ackley,2,5.0,0.004733,0.002401,0.002967,0.002554,0.627,0.289633,0.005105,0.207167,0.00205,0.715
ackley,2,6.0,0.004733,0.002401,0.0029,0.001587,0.613,0.422067,0.022718,0.3239,0.022735,0.767
ackley,2,7.0,0.0053,0.0032,0.005667,0.000153,1.069,0.793833,0.028167,0.716033,0.066969,0.902
ackley,2,8.0,0.004733,0.002401,0.002433,0.000551,0.514,1.249133,0.065668,0.870267,0.087015,0.697
ackley,2,9.0,0.0052,0.002685,0.0031,0.003751,0.596,1.6626,0.054246,1.256267,0.028657,0.756
ackley,5,0.1,0.0506,0.014292,2.583633,0.590295,51.06,0.523567,0.086653,4.546433,0.517663,8.684
ackley,5,0.25,0.040133,0.019789,1.050967,0.523207,26.187,0.568733,0.04991,3.737867,0.355191,6.572
ackley,5,0.5,0.037167,0.012705,0.4978,0.074156,13.394,0.599733,0.065234,2.955067,0.206882,4.927
ackley,5,1.0,0.041233,0.009534,0.254967,0.072788,6.184,0.4733,0.035604,2.155467,0.053067,4.554
ackley,5,2.0,0.030533,0.012133,0.185,0.092138,6.059,0.553633,0.00655,1.8883,0.014384,3.411
ackley,5,3.0,0.0511,0.01305,0.087533,0.028136,1.713,0.476133,0.005372,0.9454,0.06405,1.986
ackley,5,4.0,0.0502,0.002551,0.056267,0.014373,1.121,0.508933,0.004937,0.455733,0.007242,0.895
ackley,5,5.0,0.0502,0.002551,0.0359,0.01466,0.715,0.444933,0.004165,0.3862,0.0013,0.868
ackley,5,6.0,0.0502,0.002551,0.033,0.015342,0.657,0.4357,0.001916,0.372267,0.003819,0.854
ackley,5,7.0,0.0502,0.002551,0.0376,0.012978,0.749,0.4342,0.002784,0.384433,0.004398,0.885
ackley,5,8.0,0.0502,0.002551,0.044167,0.011684,0.88,0.433667,0.002237,0.406467,0.004704,0.937
ackley,5,9.0,0.050233,0.002495,0.0523,0.011464,1.041,0.433667,0.002237,0.434333,0.004761,1.002
ackley,10,0.1,0.3824,0.33575,8.064167,0.346563,21.088,2.3099,1.237935,10.464267,0.958856,4.53
ackley,10,0.25,0.211333,0.103675,4.300633,0.698363,20.35,2.8008,0.588378,7.194033,0.201596,2.569
ackley,10,0.5,0.1779,0.029351,2.986333,0.12986,16.787,1.6224,0.803697,4.954967,0.254012,3.054
ackley,10,1.0,0.1617,0.029624,1.863267,0.249916,11.523,1.250467,0.156559,3.918267,0.068729,3.133
ackley,10,2.0,0.176833,0.018972,1.312433,0.124653,7.422,1.0353,0.196264,3.044333,0.023814,2.941
ackley,10,3.0,0.1671,0.018662,1.0387,0.035689,6.216,0.9644,0.0166,2.784133,0.018841,2.887
ackley,10,4.0,0.151,0.016736,1.1132,0.125782,7.372,0.906733,0.031026,2.933,0.031668,3.235
ackley,10,5.0,0.1777,0.044345,0.908867,0.216467,5.115,0.912667,0.025423,2.614333,0.137382,2.864
ackley,10,6.0,0.167633,0.033736,0.303167,0.064209,1.809,0.901733,0.003029,1.643367,0.005,1.822
ackley,10,7.0,0.149667,0.034935,0.219367,0.029043,1.466,0.9487,0.007795,1.122967,0.013461,1.184
ackley,10,8.0,0.149867,0.034764,0.187767,0.018968,1.253,0.856067,0.00387,0.907067,0.001514,1.06
ackley,10,9.0,0.150033,0.034623,0.175067,0.018809,1.167,0.830467,0.00713,0.820533,0.006604,0.988
ackley,20,0.1,5.831267,0.445876,11.418233,0.273949,1.958,7.838833,0.40048,13.532067,0.094773,1.726
ackley,20,0.25,5.6159,0.698566,10.627267,0.309829,1.892,7.4515,0.730881,12.346933,0.106016,1.657
ackley,20,0.5,4.759567,0.84504,8.565,0.521928,1.8,6.755133,0.594839,10.481267,0.531639,1.552
ackley,20,1.0,4.540733,0.591619,5.6301,0.30012,1.24,6.531,0.467537,8.130133,0.194381,1.245
ackley,20,2.0,2.4375,0.224751,3.4758,0.352225,1.426,4.569967,0.410617,5.4772,0.10309,1.199
ackley,20,3.0,1.732433,0.413725,2.748533,0.119498,1.587,3.867333,0.401439,4.480433,0.005816,1.159
ackley,20,4.0,1.645,0.31585,2.534867,0.116541,1.541,3.8262,0.069755,3.883267,0.010128,1.015
ackley,20,5.0,1.1798,0.290119,2.422233,0.023892,2.053,3.6895,0.011692,3.691433,0.012513,1.001
ackley,20,6.0,1.142767,0.212763,2.367833,0.012273,2.072,3.546,0.310557,3.8404,0.077789,1.083
ackley,20,7.0,1.128,0.457415,2.476433,0.15213,2.195,3.442867,0.271621,3.9229,0.016595,1.139
ackley,20,8.0,0.951767,0.091431,2.501433,0.076026,2.628,3.4404,0.008707,3.8036,0.014231,1.106
ackley,20,9.0,1.2257,0.23614,2.373067,0.115291,1.936,3.554767,0.014286,3.627467,0.060385,1.02
rastrigin,2,0.1,0.024667,0.035971,0.002833,0.003528,0.115,19.790367,0.184303,10.374267,0.435934,0.524
rastrigin,2,0.25,0.032967,0.021923,0.0016,0.000889,0.049,19.6506,0.035052,8.9619,0.731432,0.456
rastrigin,2,0.5,0.0167,0.016225,0.003333,0.003467,0.2,19.5677,0.250164,10.800633,0.788128,0.552
rastrigin,2,1.0,0.0486,0.038736,0.004833,0.003595,0.099,19.5955,0.210964,12.7278,0.041317,0.65
rastrigin,2,2.0,0.0294,0.008416,0.007133,0.004025,0.243,19.791067,0.154575,14.357933,0.200371,0.725
rastrigin,2,3.0,0.0295,0.030264,0.011333,0.006144,0.384,19.820233,0.197172,15.296833,0.189563,0.772
rastrigin,2,4.0,0.0431,0.038088,0.021,0.016195,0.487,19.715267,0.363747,17.200967,1.591996,0.872
rastrigin,2,5.0,0.0376,0.031618,0.030867,0.018058,0.821,19.5885,0.24893,19.221233,0.615107,0.981
rastrigin,2,6.0,0.013067,0.012151,0.014933,0.004356,1.143,19.739467,0.220019,17.6738,0.153472,0.895
rastrigin,2,7.0,0.0459,0.032017,0.091967,0.094428,2.004,19.889467,0.122387,20.529667,0.454796,1.032
rastrigin,2,8.0,0.048667,0.042269,0.079067,0.025537,1.625,20.172033,0.331887,20.853767,0.117784,1.034
rastrigin,2,9.0,0.043867,0.030143,0.033267,0.009001,0.758,20.0421,0.153002,20.486833,0.251524,1.022
rastrigin,5,0.1,5.883433,0.53609,1.410467,0.75894,0.24,49.6596,0.507011,31.8161,3.113963,0.641
rastrigin,5,0.25,5.0173,1.444301,0.474633,0.183519,0.095,48.867367,0.144005,18.519833,0.952018,0.379
rastrigin,5,0.5,2.532667,1.022418,0.3801,0.221721,0.15,49.117067,0.541988,21.522,0.567882,0.438
rastrigin,5,1.0,3.187533,1.657731,1.174633,0.321489,0.369,49.016533,0.119099,29.894433,0.611829,0.61
rastrigin,5,2.0,4.8954,2.732269,2.271033,1.397112,0.464,49.046067,0.180968,35.503467,0.682556,0.724
rastrigin,5,3.0,4.685433,2.324582,2.224167,0.810451,0.475,48.945667,0.512142,38.219267,0.297819,0.781
rastrigin,5,4.0,4.551967,1.103842,2.633,0.980441,0.578,49.254533,0.274738,39.651467,0.187054,0.805
rastrigin,5,5.0,4.249833,0.389503,2.6959,0.921438,0.634,49.111633,0.396195,41.1471,0.413312,0.838
rastrigin,5,6.0,2.7248,0.816788,2.517667,1.128178,0.924,49.2937,0.116875,43.294567,0.655268,0.878
rastrigin,5,7.0,6.087233,1.663403,3.9199,1.074465,0.644,49.854733,0.196914,45.2696,0.383623,0.908
rastrigin,5,8.0,6.1533,1.780563,5.061767,0.851343,0.823,49.9055,0.533404,47.752567,0.297396,0.957
rastrigin,5,9.0,3.492767,0.683553,3.814,0.163255,1.092,49.8281,0.199798,47.121133,0.699952,0.946
rastrigin,10,0.1,39.046767,0.90633,15.135867,3.219219,0.388,104.609267,0.299281,72.513467,8.371994,0.693
rastrigin,10,0.25,22.686067,5.377763,3.155133,0.723528,0.139,100.838033,0.768365,29.863833,0.661052,0.296
rastrigin,10,0.5,32.304867,2.122678,4.7004,1.091255,0.146,98.629367,0.874109,36.858333,0.324866,0.374
rastrigin,10,1.0,25.682367,1.551446,8.8443,3.071031,0.344,98.891,1.203214,56.476933,0.550645,0.571
rastrigin,10,2.0,32.940867,2.362361,11.938333,1.426757,0.362,99.843733,0.257969,68.905033,0.70555,0.69
rastrigin,10,3.0,27.839367,4.398883,15.487933,2.229695,0.556,99.402767,0.723551,74.7745,0.866941,0.752
rastrigin,10,4.0,33.146067,3.370282,17.1988,1.490038,0.519,99.428033,0.243767,78.402433,0.290065,0.789
rastrigin,10,5.0,28.336833,6.42149,20.969533,3.11491,0.74,99.458933,1.197311,82.626967,0.55931,0.831
rastrigin,10,6.0,32.721167,5.81935,25.699767,3.364046,0.785,99.7137,0.371525,86.999633,1.214377,0.872
rastrigin,10,7.0,35.3645,1.193112,22.2228,1.786677,0.628,99.463533,0.560635,90.559,0.697557,0.91
rastrigin,10,8.0,31.230833,1.615072,26.185367,1.901553,0.838,100.8089,0.671174,94.8048,0.62079,0.94
rastrigin,10,9.0,28.413833,5.700027,21.659633,9.152759,0.762,100.376767,0.222463,98.1019,0.713948,0.977
rastrigin,20,0.1,106.893967,12.961979,79.3202,4.363158,0.742,218.345233,2.937387,170.9775,3.310989,0.783
rastrigin,20,0.25,100.384533,10.035049,23.7917,4.209221,0.237,205.3105,2.466347,73.989367,5.244505,0.36
rastrigin,20,0.5,109.4926,10.191085,25.039333,3.568165,0.229,203.2442,1.159622,78.5674,2.548224,0.387
rastrigin,20,1.0,96.0495,6.309929,35.8566,2.548302,0.373,201.304733,1.275609,115.4001,3.212044,0.573
rastrigin,20,2.0,96.299933,6.029867,56.5629,12.815868,0.587,200.445,2.481554,148.162867,3.140753,0.739
rastrigin,20,3.0,98.9392,7.227199,67.422133,2.661998,0.681,201.591433,1.526206,157.460833,2.201021,0.781
rastrigin,20,4.0,93.8101,16.073403,73.479133,1.412931,0.783,201.282567,1.261792,162.385267,3.727574,0.807
rastrigin,20,5.0,101.846467,0.573142,69.597033,14.724228,0.683,202.1835,0.778061,170.7455,2.437691,0.845
rastrigin,20,6.0,97.014967,7.043757,73.4703,7.349533,0.757,201.393333,1.389522,175.798033,2.683797,0.873
rastrigin,20,7.0,95.974633,12.071109,82.828833,17.209155,0.863,202.434267,0.911741,182.6465,1.814487,0.902
rastrigin,20,8.0,105.378333,7.206785,92.845167,5.189341,0.881,202.1209,0.223144,190.614033,0.482204,0.943
